type,full,abbr,wrong_vis,regex_vis
abb_nosp,Day52,D52,d52,d52(?![:digit:])
abb_sp,Day52,D52,d 52,d\s52(?![:digit:])
abb_us,Day52,D52,d_52,d\_52(?![:digit:])
s_nosp,Day53,D53,d53,d53(?![:digit:])
s_sp,Day53,D53,d 53,d\s53(?![:digit:])
s_us,Day53,D53,d_53,d\_53(?![:digit:])
f_nosp,Day53,D53,day53,day53(?![:digit:])
f_sp,Day53,D53,day 53,day\s53(?![:digit:])
f_us,Day53,D53,day_53,day\_53(?![:digit:])
abb_nosp,Day53,D53,d53,d53(?![:digit:])
abb_sp,Day53,D53,d 53,d\s53(?![:digit:])
abb_us,Day53,D53,d_53,d\_53(?![:digit:])
s_nosp,Day54,D54,d54,d54(?![:digit:])
s_sp,Day54,D54,d 54,d\s54(?![:digit:])
s_us,Day54,D54,d_54,d\_54(?![:digit:])
f_nosp,Day54,D54,day54,day54(?![:digit:])
f_sp,Day54,D54,day 54,day\s54(?![:digit:])
f_us,Day54,D54,day_54,day\_54(?![:digit:])
abb_nosp,Day54,D54,d54,d54(?![:digit:])
abb_sp,Day54,D54,d 54,d\s54(?![:digit:])
abb_us,Day54,D54,d_54,d\_54(?![:digit:])
s_nosp,Day55,D55,d55,d55(?![:digit:])
s_sp,Day55,D55,d 55,d\s55(?![:digit:])
s_us,Day55,D55,d_55,d\_55(?![:digit:])
f_nosp,Day55,D55,day55,day55(?![:digit:])
f_sp,Day55,D55,day 55,day\s55(?![:digit:])
f_us,Day55,D55,day_55,day\_55(?![:digit:])
abb_nosp,Day55,D55,d55,d55(?![:digit:])
abb_sp,Day55,D55,d 55,d\s55(?![:digit:])
abb_us,Day55,D55,d_55,d\_55(?![:digit:])
s_nosp,Day56,D56,d56,d56(?![:digit:])
s_sp,Day56,D56,d 56,d\s56(?![:digit:])
s_us,Day56,D56,d_56,d\_56(?![:digit:])
f_nosp,Day56,D56,day56,day56(?![:digit:])
f_sp,Day56,D56,day 56,day\s56(?![:digit:])
f_us,Day56,D56,day_56,day\_56(?![:digit:])
abb_nosp,Day56,D56,d56,d56(?![:digit:])
abb_sp,Day56,D56,d 56,d\s56(?![:digit:])
abb_us,Day56,D56,d_56,d\_56(?![:digit:])
s_nosp,Day57,D57,d57,d57(?![:digit:])
s_sp,Day57,D57,d 57,d\s57(?![:digit:])
s_us,Day57,D57,d_57,d\_57(?![:digit:])
f_nosp,Day57,D57,day57,day57(?![:digit:])
f_sp,Day57,D57,day 57,day\s57(?![:digit:])
f_us,Day57,D57,day_57,day\_57(?![:digit:])
abb_nosp,Day57,D57,d57,d57(?![:digit:])
abb_sp,Day57,D57,d 57,d\s57(?![:digit:])
abb_us,Day57,D57,d_57,d\_57(?![:digit:])
s_nosp,Day58,D58,d58,d58(?![:digit:])
s_sp,Day58,D58,d 58,d\s58(?![:digit:])
s_us,Day58,D58,d_58,d\_58(?![:digit:])
f_nosp,Day58,D58,day58,day58(?![:digit:])
f_sp,Day58,D58,day 58,day\s58(?![:digit:])
f_us,Day58,D58,day_58,day\_58(?![:digit:])
abb_nosp,Day58,D58,d58,d58(?![:digit:])
abb_sp,Day58,D58,d 58,d\s58(?![:digit:])
abb_us,Day58,D58,d_58,d\_58(?![:digit:])
s_nosp,Day59,D59,d59,d59(?![:digit:])
s_sp,Day59,D59,d 59,d\s59(?![:digit:])
s_us,Day59,D59,d_59,d\_59(?![:digit:])
f_nosp,Day59,D59,day59,day59(?![:digit:])
f_sp,Day59,D59,day 59,day\s59(?![:digit:])
f_us,Day59,D59,day_59,day\_59(?![:digit:])
abb_nosp,Day59,D59,d59,d59(?![:digit:])
abb_sp,Day59,D59,d 59,d\s59(?![:digit:])
abb_us,Day59,D59,d_59,d\_59(?![:digit:])
s_nosp,Day60,D60,d60,d60(?![:digit:])
s_sp,Day60,D60,d 60,d\s60(?![:digit:])
s_us,Day60,D60,d_60,d\_60(?![:digit:])
f_nosp,Day60,D60,day60,day60(?![:digit:])
f_sp,Day60,D60,day 60,day\s60(?![:digit:])
f_us,Day60,D60,day_60,day\_60(?![:digit:])
abb_nosp,Day60,D60,d60,d60(?![:digit:])
abb_sp,Day60,D60,d 60,d\s60(?![:digit:])
abb_us,Day60,D60,d_60,d\_60(?![:digit:])
s_nosp,Day61,D61,d61,d61(?![:digit:])
s_sp,Day61,D61,d 61,d\s61(?![:digit:])
s_us,Day61,D61,d_61,d\_61(?![:digit:])
f_nosp,Day61,D61,day61,day61(?![:digit:])
f_sp,Day61,D61,day 61,day\s61(?![:digit:])
f_us,Day61,D61,day_61,day\_61(?![:digit:])
abb_nosp,Day61,D61,d61,d61(?![:digit:])
abb_sp,Day61,D61,d 61,d\s61(?![:digit:])
abb_us,Day61,D61,d_61,d\_61(?![:digit:])
s_nosp,Day62,D62,d62,d62(?![:digit:])
s_sp,Day62,D62,d 62,d\s62(?![:digit:])
s_us,Day62,D62,d_62,d\_62(?![:digit:])
f_nosp,Day62,D62,day62,day62(?![:digit:])
f_sp,Day62,D62,day 62,day\s62(?![:digit:])
f_us,Day62,D62,day_62,day\_62(?![:digit:])
abb_nosp,Day62,D62,d62,d62(?![:digit:])
abb_sp,Day62,D62,d 62,d\s62(?![:digit:])
abb_us,Day62,D62,d_62,d\_62(?![:digit:])
s_nosp,Day63,D63,d63,d63(?![:digit:])
s_sp,Day63,D63,d 63,d\s63(?![:digit:])
s_us,Day63,D63,d_63,d\_63(?![:digit:])
f_nosp,Day63,D63,day63,day63(?![:digit:])
f_sp,Day63,D63,day 63,day\s63(?![:digit:])
f_us,Day63,D63,day_63,day\_63(?![:digit:])
abb_nosp,Day63,D63,d63,d63(?![:digit:])
abb_sp,Day63,D63,d 63,d\s63(?![:digit:])
abb_us,Day63,D63,d_63,d\_63(?![:digit:])
s_nosp,Day64,D64,d64,d64(?![:digit:])
s_sp,Day64,D64,d 64,d\s64(?![:digit:])
s_us,Day64,D64,d_64,d\_64(?![:digit:])
f_nosp,Day64,D64,day64,day64(?![:digit:])
f_sp,Day64,D64,day 64,day\s64(?![:digit:])
f_us,Day64,D64,day_64,day\_64(?![:digit:])
abb_nosp,Day64,D64,d64,d64(?![:digit:])
abb_sp,Day64,D64,d 64,d\s64(?![:digit:])
abb_us,Day64,D64,d_64,d\_64(?![:digit:])
s_nosp,Day65,D65,d65,d65(?![:digit:])
s_sp,Day65,D65,d 65,d\s65(?![:digit:])
s_us,Day65,D65,d_65,d\_65(?![:digit:])
f_nosp,Day65,D65,day65,day65(?![:digit:])
f_sp,Day65,D65,day 65,day\s65(?![:digit:])
f_us,Day65,D65,day_65,day\_65(?![:digit:])
abb_nosp,Day65,D65,d65,d65(?![:digit:])
abb_sp,Day65,D65,d 65,d\s65(?![:digit:])
abb_us,Day65,D65,d_65,d\_65(?![:digit:])
s_nosp,Day66,D66,d66,d66(?![:digit:])
s_sp,Day66,D66,d 66,d\s66(?![:digit:])
s_us,Day66,D66,d_66,d\_66(?![:digit:])
f_nosp,Day66,D66,day66,day66(?![:digit:])
f_sp,Day66,D66,day 66,day\s66(?![:digit:])
f_us,Day66,D66,day_66,day\_66(?![:digit:])
abb_nosp,Day66,D66,d66,d66(?![:digit:])
abb_sp,Day66,D66,d 66,d\s66(?![:digit:])
abb_us,Day66,D66,d_66,d\_66(?![:digit:])
s_nosp,Day67,D67,d67,d67(?![:digit:])
s_sp,Day67,D67,d 67,d\s67(?![:digit:])
s_us,Day67,D67,d_67,d\_67(?![:digit:])
f_nosp,Day67,D67,day67,day67(?![:digit:])
f_sp,Day67,D67,day 67,day\s67(?![:digit:])
f_us,Day67,D67,day_67,day\_67(?![:digit:])
abb_nosp,Day67,D67,d67,d67(?![:digit:])
abb_sp,Day67,D67,d 67,d\s67(?![:digit:])
abb_us,Day67,D67,d_67,d\_67(?![:digit:])
s_nosp,Day68,D68,d68,d68(?![:digit:])
s_sp,Day68,D68,d 68,d\s68(?![:digit:])
s_us,Day68,D68,d_68,d\_68(?![:digit:])
f_nosp,Day68,D68,day68,day68(?![:digit:])
f_sp,Day68,D68,day 68,day\s68(?![:digit:])
f_us,Day68,D68,day_68,day\_68(?![:digit:])
abb_nosp,Day68,D68,d68,d68(?![:digit:])
abb_sp,Day68,D68,d 68,d\s68(?![:digit:])
abb_us,Day68,D68,d_68,d\_68(?![:digit:])
s_nosp,Day69,D69,d69,d69(?![:digit:])
s_sp,Day69,D69,d 69,d\s69(?![:digit:])
s_us,Day69,D69,d_69,d\_69(?![:digit:])
f_nosp,Day69,D69,day69,day69(?![:digit:])
f_sp,Day69,D69,day 69,day\s69(?![:digit:])
f_us,Day69,D69,day_69,day\_69(?![:digit:])
abb_nosp,Day69,D69,d69,d69(?![:digit:])
abb_sp,Day69,D69,d 69,d\s69(?![:digit:])
abb_us,Day69,D69,d_69,d\_69(?![:digit:])
s_nosp,Day70,D70,d70,d70(?![:digit:])
s_sp,Day70,D70,d 70,d\s70(?![:digit:])
s_us,Day70,D70,d_70,d\_70(?![:digit:])
f_nosp,Day70,D70,day70,day70(?![:digit:])
f_sp,Day70,D70,day 70,day\s70(?![:digit:])
f_us,Day70,D70,day_70,day\_70(?![:digit:])
abb_nosp,Day70,D70,d70,d70(?![:digit:])
abb_sp,Day70,D70,d 70,d\s70(?![:digit:])
abb_us,Day70,D70,d_70,d\_70(?![:digit:])
s_nosp,Day71,D71,d71,d71(?![:digit:])
s_sp,Day71,D71,d 71,d\s71(?![:digit:])
s_us,Day71,D71,d_71,d\_71(?![:digit:])
f_nosp,Day71,D71,day71,day71(?![:digit:])
f_sp,Day71,D71,day 71,day\s71(?![:digit:])
f_us,Day71,D71,day_71,day\_71(?![:digit:])
abb_nosp,Day71,D71,d71,d71(?![:digit:])
abb_sp,Day71,D71,d 71,d\s71(?![:digit:])
abb_us,Day71,D71,d_71,d\_71(?![:digit:])
s_nosp,Day72,D72,d72,d72(?![:digit:])
s_sp,Day72,D72,d 72,d\s72(?![:digit:])
s_us,Day72,D72,d_72,d\_72(?![:digit:])
f_nosp,Day72,D72,day72,day72(?![:digit:])
f_sp,Day72,D72,day 72,day\s72(?![:digit:])
f_us,Day72,D72,day_72,day\_72(?![:digit:])
abb_nosp,Day72,D72,d72,d72(?![:digit:])
abb_sp,Day72,D72,d 72,d\s72(?![:digit:])
abb_us,Day72,D72,d_72,d\_72(?![:digit:])
s_nosp,Day73,D73,d73,d73(?![:digit:])
s_sp,Day73,D73,d 73,d\s73(?![:digit:])
s_us,Day73,D73,d_73,d\_73(?![:digit:])
f_nosp,Day73,D73,day73,day73(?![:digit:])
f_sp,Day73,D73,day 73,day\s73(?![:digit:])
f_us,Day73,D73,day_73,day\_73(?![:digit:])
abb_nosp,Day73,D73,d73,d73(?![:digit:])
abb_sp,Day73,D73,d 73,d\s73(?![:digit:])
abb_us,Day73,D73,d_73,d\_73(?![:digit:])
s_nosp,Day74,D74,d74,d74(?![:digit:])
s_sp,Day74,D74,d 74,d\s74(?![:digit:])
s_us,Day74,D74,d_74,d\_74(?![:digit:])
f_nosp,Day74,D74,day74,day74(?![:digit:])
f_sp,Day74,D74,day 74,day\s74(?![:digit:])
f_us,Day74,D74,day_74,day\_74(?![:digit:])
abb_nosp,Day74,D74,d74,d74(?![:digit:])
abb_sp,Day74,D74,d 74,d\s74(?![:digit:])
abb_us,Day74,D74,d_74,d\_74(?![:digit:])
s_nosp,Day75,D75,d75,d75(?![:digit:])
s_sp,Day75,D75,d 75,d\s75(?![:digit:])
s_us,Day75,D75,d_75,d\_75(?![:digit:])
f_nosp,Day75,D75,day75,day75(?![:digit:])
f_sp,Day75,D75,day 75,day\s75(?![:digit:])
f_us,Day75,D75,day_75,day\_75(?![:digit:])
abb_nosp,Day75,D75,d75,d75(?![:digit:])
abb_sp,Day75,D75,d 75,d\s75(?![:digit:])
abb_us,Day75,D75,d_75,d\_75(?![:digit:])
s_nosp,Day76,D76,d76,d76(?![:digit:])
s_sp,Day76,D76,d 76,d\s76(?![:digit:])
s_us,Day76,D76,d_76,d\_76(?![:digit:])
f_nosp,Day76,D76,day76,day76(?![:digit:])
f_sp,Day76,D76,day 76,day\s76(?![:digit:])
f_us,Day76,D76,day_76,day\_76(?![:digit:])
abb_nosp,Day76,D76,d76,d76(?![:digit:])
abb_sp,Day76,D76,d 76,d\s76(?![:digit:])
abb_us,Day76,D76,d_76,d\_76(?![:digit:])
s_nosp,Day77,D77,d77,d77(?![:digit:])
s_sp,Day77,D77,d 77,d\s77(?![:digit:])
s_us,Day77,D77,d_77,d\_77(?![:digit:])
f_nosp,Day77,D77,day77,day77(?![:digit:])
f_sp,Day77,D77,day 77,day\s77(?![:digit:])
f_us,Day77,D77,day_77,day\_77(?![:digit:])
abb_nosp,Day77,D77,d77,d77(?![:digit:])
abb_sp,Day77,D77,d 77,d\s77(?![:digit:])
abb_us,Day77,D77,d_77,d\_77(?![:digit:])
s_nosp,Day78,D78,d78,d78(?![:digit:])
s_sp,Day78,D78,d 78,d\s78(?![:digit:])
s_us,Day78,D78,d_78,d\_78(?![:digit:])
f_nosp,Day78,D78,day78,day78(?![:digit:])
f_sp,Day78,D78,day 78,day\s78(?![:digit:])
f_us,Day78,D78,day_78,day\_78(?![:digit:])
abb_nosp,Day78,D78,d78,d78(?![:digit:])
abb_sp,Day78,D78,d 78,d\s78(?![:digit:])
abb_us,Day78,D78,d_78,d\_78(?![:digit:])
s_nosp,Day79,D79,d79,d79(?![:digit:])
s_sp,Day79,D79,d 79,d\s79(?![:digit:])
s_us,Day79,D79,d_79,d\_79(?![:digit:])
f_nosp,Day79,D79,day79,day79(?![:digit:])
f_sp,Day79,D79,day 79,day\s79(?![:digit:])
f_us,Day79,D79,day_79,day\_79(?![:digit:])
abb_nosp,Day79,D79,d79,d79(?![:digit:])
abb_sp,Day79,D79,d 79,d\s79(?![:digit:])
abb_us,Day79,D79,d_79,d\_79(?![:digit:])
s_nosp,Day80,D80,d80,d80(?![:digit:])
s_sp,Day80,D80,d 80,d\s80(?![:digit:])
s_us,Day80,D80,d_80,d\_80(?![:digit:])
f_nosp,Day80,D80,day80,day80(?![:digit:])
f_sp,Day80,D80,day 80,day\s80(?![:digit:])
f_us,Day80,D80,day_80,day\_80(?![:digit:])
abb_nosp,Day80,D80,d80,d80(?![:digit:])
abb_sp,Day80,D80,d 80,d\s80(?![:digit:])
abb_us,Day80,D80,d_80,d\_80(?![:digit:])
s_nosp,Day81,D81,d81,d81(?![:digit:])
s_sp,Day81,D81,d 81,d\s81(?![:digit:])
s_us,Day81,D81,d_81,d\_81(?![:digit:])
f_nosp,Day81,D81,day81,day81(?![:digit:])
f_sp,Day81,D81,day 81,day\s81(?![:digit:])
f_us,Day81,D81,day_81,day\_81(?![:digit:])
abb_nosp,Day81,D81,d81,d81(?![:digit:])
abb_sp,Day81,D81,d 81,d\s81(?![:digit:])
abb_us,Day81,D81,d_81,d\_81(?![:digit:])
s_nosp,Day82,D82,d82,d82(?![:digit:])
s_sp,Day82,D82,d 82,d\s82(?![:digit:])
s_us,Day82,D82,d_82,d\_82(?![:digit:])
f_nosp,Day82,D82,day82,day82(?![:digit:])
f_sp,Day82,D82,day 82,day\s82(?![:digit:])
f_us,Day82,D82,day_82,day\_82(?![:digit:])
abb_nosp,Day82,D82,d82,d82(?![:digit:])
abb_sp,Day82,D82,d 82,d\s82(?![:digit:])
abb_us,Day82,D82,d_82,d\_82(?![:digit:])
s_nosp,Day83,D83,d83,d83(?![:digit:])
s_sp,Day83,D83,d 83,d\s83(?![:digit:])
s_us,Day83,D83,d_83,d\_83(?![:digit:])
f_nosp,Day83,D83,day83,day83(?![:digit:])
f_sp,Day83,D83,day 83,day\s83(?![:digit:])
f_us,Day83,D83,day_83,day\_83(?![:digit:])
abb_nosp,Day83,D83,d83,d83(?![:digit:])
abb_sp,Day83,D83,d 83,d\s83(?![:digit:])
abb_us,Day83,D83,d_83,d\_83(?![:digit:])
s_nosp,Day84,D84,d84,d84(?![:digit:])
s_sp,Day84,D84,d 84,d\s84(?![:digit:])
s_us,Day84,D84,d_84,d\_84(?![:digit:])
f_nosp,Day84,D84,day84,day84(?![:digit:])
f_sp,Day84,D84,day 84,day\s84(?![:digit:])
f_us,Day84,D84,day_84,day\_84(?![:digit:])
abb_nosp,Day84,D84,d84,d84(?![:digit:])
abb_sp,Day84,D84,d 84,d\s84(?![:digit:])
abb_us,Day84,D84,d_84,d\_84(?![:digit:])
s_nosp,Day85,D85,d85,d85(?![:digit:])
s_sp,Day85,D85,d 85,d\s85(?![:digit:])
s_us,Day85,D85,d_85,d\_85(?![:digit:])
f_nosp,Day85,D85,day85,day85(?![:digit:])
f_sp,Day85,D85,day 85,day\s85(?![:digit:])
f_us,Day85,D85,day_85,day\_85(?![:digit:])
abb_nosp,Day85,D85,d85,d85(?![:digit:])
abb_sp,Day85,D85,d 85,d\s85(?![:digit:])
abb_us,Day85,D85,d_85,d\_85(?![:digit:])
s_nosp,Day86,D86,d86,d86(?![:digit:])
s_sp,Day86,D86,d 86,d\s86(?![:digit:])
s_us,Day86,D86,d_86,d\_86(?![:digit:])
f_nosp,Day86,D86,day86,day86(?![:digit:])
f_sp,Day86,D86,day 86,day\s86(?![:digit:])
f_us,Day86,D86,day_86,day\_86(?![:digit:])
abb_nosp,Day86,D86,d86,d86(?![:digit:])
abb_sp,Day86,D86,d 86,d\s86(?![:digit:])
abb_us,Day86,D86,d_86,d\_86(?![:digit:])
s_nosp,Day87,D87,d87,d87(?![:digit:])
s_sp,Day87,D87,d 87,d\s87(?![:digit:])
s_us,Day87,D87,d_87,d\_87(?![:digit:])
f_nosp,Day87,D87,day87,day87(?![:digit:])
f_sp,Day87,D87,day 87,day\s87(?![:digit:])
f_us,Day87,D87,day_87,day\_87(?![:digit:])
abb_nosp,Day87,D87,d87,d87(?![:digit:])
abb_sp,Day87,D87,d 87,d\s87(?![:digit:])
abb_us,Day87,D87,d_87,d\_87(?![:digit:])
s_nosp,Day88,D88,d88,d88(?![:digit:])
s_sp,Day88,D88,d 88,d\s88(?![:digit:])
s_us,Day88,D88,d_88,d\_88(?![:digit:])
f_nosp,Day88,D88,day88,day88(?![:digit:])
f_sp,Day88,D88,day 88,day\s88(?![:digit:])
f_us,Day88,D88,day_88,day\_88(?![:digit:])
abb_nosp,Day88,D88,d88,d88(?![:digit:])
abb_sp,Day88,D88,d 88,d\s88(?![:digit:])
abb_us,Day88,D88,d_88,d\_88(?![:digit:])
s_nosp,Day89,D89,d89,d89(?![:digit:])
s_sp,Day89,D89,d 89,d\s89(?![:digit:])
s_us,Day89,D89,d_89,d\_89(?![:digit:])
f_nosp,Day89,D89,day89,day89(?![:digit:])
f_sp,Day89,D89,day 89,day\s89(?![:digit:])
f_us,Day89,D89,day_89,day\_89(?![:digit:])
abb_nosp,Day89,D89,d89,d89(?![:digit:])
abb_sp,Day89,D89,d 89,d\s89(?![:digit:])
abb_us,Day89,D89,d_89,d\_89(?![:digit:])
s_nosp,Day90,D90,d90,d90(?![:digit:])
s_sp,Day90,D90,d 90,d\s90(?![:digit:])
s_us,Day90,D90,d_90,d\_90(?![:digit:])
f_nosp,Day90,D90,day90,day90(?![:digit:])
f_sp,Day90,D90,day 90,day\s90(?![:digit:])
f_us,Day90,D90,day_90,day\_90(?![:digit:])
abb_nosp,Day90,D90,d90,d90(?![:digit:])
abb_sp,Day90,D90,d 90,d\s90(?![:digit:])
abb_us,Day90,D90,d_90,d\_90(?![:digit:])
s_nosp,Day91,D91,d91,d91(?![:digit:])
s_sp,Day91,D91,d 91,d\s91(?![:digit:])
s_us,Day91,D91,d_91,d\_91(?![:digit:])
f_nosp,Day91,D91,day91,day91(?![:digit:])
f_sp,Day91,D91,day 91,day\s91(?![:digit:])
f_us,Day91,D91,day_91,day\_91(?![:digit:])
abb_nosp,Day91,D91,d91,d91(?![:digit:])
abb_sp,Day91,D91,d 91,d\s91(?![:digit:])
abb_us,Day91,D91,d_91,d\_91(?![:digit:])
s_nosp,Day92,D92,d92,d92(?![:digit:])
s_sp,Day92,D92,d 92,d\s92(?![:digit:])
s_us,Day92,D92,d_92,d\_92(?![:digit:])
f_nosp,Day92,D92,day92,day92(?![:digit:])
f_sp,Day92,D92,day 92,day\s92(?![:digit:])
f_us,Day92,D92,day_92,day\_92(?![:digit:])
abb_nosp,Day92,D92,d92,d92(?![:digit:])
abb_sp,Day92,D92,d 92,d\s92(?![:digit:])
abb_us,Day92,D92,d_92,d\_92(?![:digit:])
s_nosp,Day93,D93,d93,d93(?![:digit:])
s_sp,Day93,D93,d 93,d\s93(?![:digit:])
s_us,Day93,D93,d_93,d\_93(?![:digit:])
f_nosp,Day93,D93,day93,day93(?![:digit:])
f_sp,Day93,D93,day 93,day\s93(?![:digit:])
f_us,Day93,D93,day_93,day\_93(?![:digit:])
abb_nosp,Day93,D93,d93,d93(?![:digit:])
abb_sp,Day93,D93,d 93,d\s93(?![:digit:])
abb_us,Day93,D93,d_93,d\_93(?![:digit:])
s_nosp,Day94,D94,d94,d94(?![:digit:])
s_sp,Day94,D94,d 94,d\s94(?![:digit:])
s_us,Day94,D94,d_94,d\_94(?![:digit:])
f_nosp,Day94,D94,day94,day94(?![:digit:])
f_sp,Day94,D94,day 94,day\s94(?![:digit:])
f_us,Day94,D94,day_94,day\_94(?![:digit:])
abb_nosp,Day94,D94,d94,d94(?![:digit:])
abb_sp,Day94,D94,d 94,d\s94(?![:digit:])
abb_us,Day94,D94,d_94,d\_94(?![:digit:])
s_nosp,Day95,D95,d95,d95(?![:digit:])
s_sp,Day95,D95,d 95,d\s95(?![:digit:])
s_us,Day95,D95,d_95,d\_95(?![:digit:])
f_nosp,Day95,D95,day95,day95(?![:digit:])
f_sp,Day95,D95,day 95,day\s95(?![:digit:])
f_us,Day95,D95,day_95,day\_95(?![:digit:])
abb_nosp,Day95,D95,d95,d95(?![:digit:])
abb_sp,Day95,D95,d 95,d\s95(?![:digit:])
abb_us,Day95,D95,d_95,d\_95(?![:digit:])
s_nosp,Day96,D96,d96,d96(?![:digit:])
s_sp,Day96,D96,d 96,d\s96(?![:digit:])
s_us,Day96,D96,d_96,d\_96(?![:digit:])
f_nosp,Day96,D96,day96,day96(?![:digit:])
f_sp,Day96,D96,day 96,day\s96(?![:digit:])
f_us,Day96,D96,day_96,day\_96(?![:digit:])
abb_nosp,Day96,D96,d96,d96(?![:digit:])
abb_sp,Day96,D96,d 96,d\s96(?![:digit:])
abb_us,Day96,D96,d_96,d\_96(?![:digit:])
s_nosp,Day97,D97,d97,d97(?![:digit:])
s_sp,Day97,D97,d 97,d\s97(?![:digit:])
s_us,Day97,D97,d_97,d\_97(?![:digit:])
f_nosp,Day97,D97,day97,day97(?![:digit:])
f_sp,Day97,D97,day 97,day\s97(?![:digit:])
f_us,Day97,D97,day_97,day\_97(?![:digit:])
abb_nosp,Day97,D97,d97,d97(?![:digit:])
abb_sp,Day97,D97,d 97,d\s97(?![:digit:])
abb_us,Day97,D97,d_97,d\_97(?![:digit:])
s_nosp,Day98,D98,d98,d98(?![:digit:])
s_sp,Day98,D98,d 98,d\s98(?![:digit:])
s_us,Day98,D98,d_98,d\_98(?![:digit:])
f_nosp,Day98,D98,day98,day98(?![:digit:])
f_sp,Day98,D98,day 98,day\s98(?![:digit:])
f_us,Day98,D98,day_98,day\_98(?![:digit:])
abb_nosp,Day98,D98,d98,d98(?![:digit:])
abb_sp,Day98,D98,d 98,d\s98(?![:digit:])
abb_us,Day98,D98,d_98,d\_98(?![:digit:])
s_nosp,Day99,D99,d99,d99(?![:digit:])
s_sp,Day99,D99,d 99,d\s99(?![:digit:])
s_us,Day99,D99,d_99,d\_99(?![:digit:])
f_nosp,Day99,D99,day99,day99(?![:digit:])
f_sp,Day99,D99,day 99,day\s99(?![:digit:])
f_us,Day99,D99,day_99,day\_99(?![:digit:])
abb_nosp,Day99,D99,d99,d99(?![:digit:])
abb_sp,Day99,D99,d 99,d\s99(?![:digit:])
abb_us,Day99,D99,d_99,d\_99(?![:digit:])
s_nosp,Day100,D100,d100,d100(?![:digit:])
s_sp,Day100,D100,d 100,d\s100(?![:digit:])
s_us,Day100,D100,d_100,d\_100(?![:digit:])
f_nosp,Day100,D100,day100,day100(?![:digit:])
f_sp,Day100,D100,day 100,day\s100(?![:digit:])
f_us,Day100,D100,day_100,day\_100(?![:digit:])
abb_nosp,Day100,D100,d100,d100(?![:digit:])
abb_sp,Day100,D100,d 100,d\s100(?![:digit:])
abb_us,Day100,D100,d_100,d\_100(?![:digit:])
s_nosp,Week0,WK0,w0,w0(?![:digit:])
s_sp,Week0,WK0,w 0,w\s0(?![:digit:])
s_us,Week0,WK0,w_0,w\_0(?![:digit:])
f_nosp,Week0,WK0,week0,week0(?![:digit:])
f_sp,Week0,WK0,week 0,week\s0(?![:digit:])
f_us,Week0,WK0,week_0,week\_0(?![:digit:])
abb_nosp,Week0,WK0,wk0,wk0(?![:digit:])
abb_sp,Week0,WK0,wk 0,wk\s0(?![:digit:])
abb_us,Week0,WK0,wk_0,wk\_0(?![:digit:])
s_nosp,Week1,WK1,w1,w1(?![:digit:])
s_sp,Week1,WK1,w 1,w\s1(?![:digit:])
s_us,Week1,WK1,w_1,w\_1(?![:digit:])
f_nosp,Week1,WK1,week1,week1(?![:digit:])
f_sp,Week1,WK1,week 1,week\s1(?![:digit:])
f_us,Week1,WK1,week_1,week\_1(?![:digit:])
abb_nosp,Week1,WK1,wk1,wk1(?![:digit:])
abb_sp,Week1,WK1,wk 1,wk\s1(?![:digit:])
abb_us,Week1,WK1,wk_1,wk\_1(?![:digit:])
s_nosp,Week2,WK2,w2,w2(?![:digit:])
s_sp,Week2,WK2,w 2,w\s2(?![:digit:])
s_us,Week2,WK2,w_2,w\_2(?![:digit:])
f_nosp,Week2,WK2,week2,week2(?![:digit:])
f_sp,Week2,WK2,week 2,week\s2(?![:digit:])
f_us,Week2,WK2,week_2,week\_2(?![:digit:])
abb_nosp,Week2,WK2,wk2,wk2(?![:digit:])
abb_sp,Week2,WK2,wk 2,wk\s2(?![:digit:])
abb_us,Week2,WK2,wk_2,wk\_2(?![:digit:])
s_nosp,Week3,WK3,w3,w3(?![:digit:])
s_sp,Week3,WK3,w 3,w\s3(?![:digit:])
s_us,Week3,WK3,w_3,w\_3(?![:digit:])
f_nosp,Week3,WK3,week3,week3(?![:digit:])
f_sp,Week3,WK3,week 3,week\s3(?![:digit:])
f_us,Week3,WK3,week_3,week\_3(?![:digit:])
abb_nosp,Week3,WK3,wk3,wk3(?![:digit:])
